kubectl logs -n kafka test-producer-1-7qpkf   
367144 records sent, 73296.9 records/sec (69.90 MB/sec), 598.7 ms avg latency, 1492.0 max latency.
600000 records sent, 83810.588071 records/sec (79.93 MB/sec), 631.34 ms avg latency, 1801.00 ms max latency, 617 ms 50th, 1350 ms 95th, 1681 ms 99th, 1790 ms 99.9th.

Metric Name                                                                            Value
app-info:commit-id:{client-id=producer-1}                                            : 815feb8a888d39d9
app-info:version:{client-id=producer-1}                                              : 2.0.1-cp1
kafka-metrics-count:count:{client-id=producer-1}                                     : 118.000
producer-metrics:batch-size-avg:{client-id=producer-1}                               : 426841.311
producer-metrics:batch-size-max:{client-id=producer-1}                               : 819598.000
producer-metrics:batch-split-rate:{client-id=producer-1}                             : 0.000
producer-metrics:batch-split-total:{client-id=producer-1}                            : 0.000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                       : 67108864.000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                        : 0.000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                       : 0.000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                           : 67108864.000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                        : 0.029
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                   : 1023013401.000
producer-metrics:compression-rate-avg:{client-id=producer-1}                         : 1.000
producer-metrics:connection-close-rate:{client-id=producer-1}                        : 0.000
producer-metrics:connection-close-total:{client-id=producer-1}                       : 0.000
producer-metrics:connection-count:{client-id=producer-1}                             : 4.000
producer-metrics:connection-creation-rate:{client-id=producer-1}                     : 0.108
producer-metrics:connection-creation-total:{client-id=producer-1}                    : 4.000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                   : 0.000
producer-metrics:failed-authentication-total:{client-id=producer-1}                  : 0.000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                           : 2187.520
producer-metrics:incoming-byte-total:{client-id=producer-1}                          : 80982.000
producer-metrics:io-ratio:{client-id=producer-1}                                     : 0.031
producer-metrics:io-time-ns-avg:{client-id=producer-1}                               : 323246.364
producer-metrics:io-wait-ratio:{client-id=producer-1}                                : 0.017
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                          : 178507.208
producer-metrics:io-waittime-total:{client-id=producer-1}                            : 637270732.000
producer-metrics:iotime-total:{client-id=producer-1}                                 : 1153989518.000
producer-metrics:metadata-age:{client-id=producer-1}                                 : 7.016
producer-metrics:network-io-rate:{client-id=producer-1}                              : 58.992
producer-metrics:network-io-total:{client-id=producer-1}                             : 2184.000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                           : 16375408.153
producer-metrics:outgoing-byte-total:{client-id=producer-1}                          : 606184859.000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                    : 0.000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                    : 0.000
producer-metrics:record-error-rate:{client-id=producer-1}                            : 0.000
producer-metrics:record-error-total:{client-id=producer-1}                           : 0.000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                        : 323.986
producer-metrics:record-queue-time-max:{client-id=producer-1}                        : 1744.000
producer-metrics:record-retry-rate:{client-id=producer-1}                            : 0.000
producer-metrics:record-retry-total:{client-id=producer-1}                           : 0.000
producer-metrics:record-send-rate:{client-id=producer-1}                             : 16226.303
producer-metrics:record-send-total:{client-id=producer-1}                            : 600000.000
producer-metrics:record-size-avg:{client-id=producer-1}                              : 1086.000
producer-metrics:record-size-max:{client-id=producer-1}                              : 1086.000
producer-metrics:records-per-request-avg:{client-id=producer-1}                      : 551.978
producer-metrics:request-latency-avg:{client-id=producer-1}                          : 30.441
producer-metrics:request-latency-max:{client-id=producer-1}                          : 433.000
producer-metrics:request-rate:{client-id=producer-1}                                 : 29.497
producer-metrics:request-size-avg:{client-id=producer-1}                             : 555114.340
producer-metrics:request-size-max:{client-id=producer-1}                             : 1048444.000
producer-metrics:request-total:{client-id=producer-1}                                : 1092.000
producer-metrics:requests-in-flight:{client-id=producer-1}                           : 0.000
producer-metrics:response-rate:{client-id=producer-1}                                : 29.498
producer-metrics:response-total:{client-id=producer-1}                               : 1092.000
producer-metrics:select-rate:{client-id=producer-1}                                  : 95.975
producer-metrics:select-total:{client-id=producer-1}                                 : 3570.000
producer-metrics:successful-authentication-rate:{client-id=producer-1}               : 0.000
producer-metrics:successful-authentication-total:{client-id=producer-1}              : 0.000
producer-metrics:waiting-threads:{client-id=producer-1}                              : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--1}     : 16.099
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-0}      : 479.587
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}      : 1241.934
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-2}      : 454.440
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node--1}    : 596.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-0}     : 17738.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-1}     : 45846.000
producer-node-metrics:incoming-byte-total:{client-id=producer-1, node-id=node-2}     : 16802.000
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node--1}     : 1.810
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-0}      : 5462394.469
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-1}      : 5463333.523
producer-node-metrics:outgoing-byte-rate:{client-id=producer-1, node-id=node-2}      : 5463107.722
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node--1}    : 67.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-0}     : 202048509.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-1}     : 202088707.000
producer-node-metrics:outgoing-byte-total:{client-id=producer-1, node-id=node-2}     : 202047576.000
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node--1}    : 0.000
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-0}     : 43.065
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-1}     : 20.853
producer-node-metrics:request-latency-avg:{client-id=producer-1, node-id=node-2}     : 38.886
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node--1}    : -Infinity
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-0}     : 402.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-1}     : 289.000
producer-node-metrics:request-latency-max:{client-id=producer-1, node-id=node-2}     : 433.000
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node--1}           : 0.054
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-0}            : 7.137
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-1}            : 15.436
producer-node-metrics:request-rate:{client-id=producer-1, node-id=node-2}            : 6.895
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node--1}       : 33.500
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-0}        : 765335.261
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-1}        : 353920.678
producer-node-metrics:request-size-avg:{client-id=producer-1, node-id=node-2}        : 792343.435
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node--1}       : 43.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-0}        : 890590.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-1}        : 1048444.000
producer-node-metrics:request-size-max:{client-id=producer-1, node-id=node-2}        : 871967.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node--1}          : 2.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-0}           : 264.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-1}           : 571.000
producer-node-metrics:request-total:{client-id=producer-1, node-id=node-2}           : 255.000
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node--1}          : 0.054
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-0}           : 7.138
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-1}           : 15.468
producer-node-metrics:response-rate:{client-id=producer-1, node-id=node-2}           : 6.897
producer-node-metrics:response-total:{client-id=producer-1, node-id=node--1}         : 2.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-0}          : 264.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-1}          : 571.000
producer-node-metrics:response-total:{client-id=producer-1, node-id=node-2}          : 255.000
producer-topic-metrics:byte-rate:{client-id=producer-1, topic=test-rep-one}          : 16392553.401
producer-topic-metrics:byte-total:{client-id=producer-1, topic=test-rep-one}         : 606114662.000
producer-topic-metrics:compression-rate:{client-id=producer-1, topic=test-rep-one}   : 1.000
producer-topic-metrics:record-error-rate:{client-id=producer-1, topic=test-rep-one}  : 0.000
producer-topic-metrics:record-error-total:{client-id=producer-1, topic=test-rep-one} : 0.000
producer-topic-metrics:record-retry-rate:{client-id=producer-1, topic=test-rep-one}  : 0.000
producer-topic-metrics:record-retry-total:{client-id=producer-1, topic=test-rep-one} : 0.000
producer-topic-metrics:record-send-rate:{client-id=producer-1, topic=test-rep-one}   : 16226.742
producer-topic-metrics:record-send-total:{client-id=producer-1, topic=test-rep-one}  : 600000.000
