kubectl logs nyc-elasticsearch-rally-xcwqc 

    ____        ____
   / __ \____ _/ / /_  __
  / /_/ / __ `/ / / / / /
 / _, _/ /_/ / / / /_/ /
/_/ |_|\__,_/_/_/\__, /
                /____/

[INFO] Downloading data for track nyc_taxis (4.5 GB total size)                   [100.0%]
[INFO] Decompressing track data from [${node:root.dir}/es-data/nyc_taxis/documents.json.bz2] to [${node:root.dir}/es-data/nyc_taxis/documents.json] (resulting size: 74.32 GB) ... [OK]
[INFO] Preparing file offset table for [${node:root.dir}/es-data/nyc_taxis/documents.json] ... [OK]
Running delete-index                                                           [100% done]
Running create-index                                                           [100% done]
Running check-cluster-health                                                   [100% done]
Running index                                                                  [100% done]
Running refresh-after-index                                                    [100% done]
Running force-merge                                                            [100% done]
Running refresh-after-force-merge                                              [100% done]
Running wait-until-merges-finish                                               [100% done]
Running default                                                                [100% done]
Running range                                                                  [100% done]
Running distance_amount_agg                                                    [100% done]
Running autohisto_agg                                                          [100% done]
Running date_histogram_agg                                                     [100% done][INFO] Racing on track [nyc_taxis], challenge [append-no-conflicts] and car ['external'] with version [6.7.0].


------------------------------------------------------
    _______             __   _____
   / ____(_)___  ____ _/ /  / ___/_________  ________
  / /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \
 / __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/
/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/
------------------------------------------------------
            
Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,273.19105,min
Min cumulative indexing time across primary shards,,273.19105,min
Median cumulative indexing time across primary shards,,273.19105,min
Max cumulative indexing time across primary shards,,273.19105,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,86.37533333333334,min
Cumulative merge count of primary shards,,136,
Min cumulative merge time across primary shards,,86.37533333333334,min
Median cumulative merge time across primary shards,,86.37533333333334,min
Max cumulative merge time across primary shards,,86.37533333333334,min
Cumulative merge throttle time of primary shards,,4.143883333333333,min
Min cumulative merge throttle time across primary shards,,4.143883333333333,min
Median cumulative merge throttle time across primary shards,,4.143883333333333,min
Max cumulative merge throttle time across primary shards,,4.143883333333333,min
Cumulative refresh time of primary shards,,4.542833333333333,min
Cumulative refresh count of primary shards,,139,
Min cumulative refresh time across primary shards,,4.542833333333333,min
Median cumulative refresh time across primary shards,,4.542833333333333,min
Max cumulative refresh time across primary shards,,4.542833333333333,min
Cumulative flush time of primary shards,,2.2938666666666667,min
Cumulative flush count of primary shards,,22,
Min cumulative flush time across primary shards,,2.2938666666666667,min
Median cumulative flush time across primary shards,,2.2938666666666667,min
Max cumulative flush time across primary shards,,2.2938666666666667,min
Total Young Gen GC,,481.715,s
Total Old Gen GC,,20.386,s
Store size,,25.79214021191001,GB
Translog size,,0.5109120067209005,GB
