kubectl logs test-elasticsearch-rally-xxz97 -f

    ____        ____
   / __ \____ _/ / /_  __
  / /_/ / __ `/ / / / / /
 / _, _/ /_/ / / / /_/ /
/_/ |_|\__,_/_/_/\__, /
                /____/

[INFO] Downloading data for track geopoint (482.1 MB total size)                  [100.0%]
[INFO] Decompressing track data from [${node:root.dir}/data/geopoint/documents.json.bz2] to [${node:root.dir}/data/geopoint/documents.json] (resulting size: 2.28 GB) ... [OK]
[INFO] Preparing file offset table for [${node:root.dir}/data/geopoint/documents.json] ... [OK]
Running delete-index                                                           [100% done]
Running create-index                                                           [100% done]
Running check-cluster-health                                                   [100% done]
Running index-append                                                           [100% done]
Running refresh-after-index                                                    [100% done]
Running force-merge                                                            [100% done]
Running refresh-after-force-merge                                              [100% done]
Running wait-until-merges-finish                                               [100% done]
Running polygon                                                                [100% done]
Running bbox                                                                   [100% done]
Running distance                                                               [100% done]
Running distanceRange                                                          [100% done]
[INFO] Racing on track [geopoint], challenge [append-no-conflicts] and car ['external'] with version [6.7.0].


------------------------------------------------------
    _______             __   _____
   / ____(_)___  ____ _/ /  / ___/_________  ________
  / /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \
 / __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/
/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/
------------------------------------------------------
            
Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,66.84094999999999,min
Min cumulative indexing time across primary shards,,6.131483333333334,min
Median cumulative indexing time across primary shards,,15.034166666666666,min
Max cumulative indexing time across primary shards,,15.566916666666666,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,27.016833333333334,min
Cumulative merge count of primary shards,,910,
Min cumulative merge time across primary shards,,3.300616666666667,min
Median cumulative merge time across primary shards,,5.73625,min
Max cumulative merge time across primary shards,,6.2495666666666665,min
Cumulative merge throttle time of primary shards,,2.434833333333333,min
Min cumulative merge throttle time across primary shards,,0.3687166666666667,min
Median cumulative merge throttle time across primary shards,,0.4721666666666666,min
Max cumulative merge throttle time across primary shards,,0.6492166666666667,min
Cumulative refresh time of primary shards,,3.9175,min
Cumulative refresh count of primary shards,,1295,
Min cumulative refresh time across primary shards,,0.6732,min
Median cumulative refresh time across primary shards,,0.7609833333333333,min
Max cumulative refresh time across primary shards,,0.8753833333333334,min
Cumulative flush time of primary shards,,0.2771166666666666,min
Cumulative flush count of primary shards,,15,
Min cumulative flush time across primary shards,,0.04251666666666667,min
Median cumulative flush time across primary shards,,0.045983333333333334,min
Max cumulative flush time across primary shards,,0.08401666666666667,min
Total Young Gen GC,,389.499,s
Total Old Gen GC,,1.086,s
Store size,,3.5029926700517535,GB
Translog size,,2.551124936901033,GB
Heap used for segments,,23.36332893371582,MB
Heap used for doc values,,0.00609588623046875,MB
Heap used for terms,,21.066871643066406,MB
Heap used for norms,,0,MB
Heap used for points,,0.8391819000244141,MB
Heap used for stored fields,,1.4511795043945312,MB
Segment count,,94,
Min Throughput,index-append,181481.08,docs/s
Median Throughput,index-append,184251.91,docs/s
Max Throughput,index-append,187229.97,docs/s
50th percentile latency,index-append,200.69207699998515,ms
90th percentile latency,index-append,303.46366959856823,ms
99th percentile latency,index-append,613.5082570428494,ms
99.9th percentile latency,index-append,1004.2071718944422,ms
100th percentile latency,index-append,1170.4824519983958,ms
50th percentile service time,index-append,200.69207699998515,ms
90th percentile service time,index-append,303.46366959856823,ms
99th percentile service time,index-append,613.5082570428494,ms
99.9th percentile service time,index-append,1004.2071718944422,ms
100th percentile service time,index-append,1170.4824519983958,ms
error rate,index-append,0.00,%
Min Throughput,polygon,2.01,ops/s
Median Throughput,polygon,2.01,ops/s
Max Throughput,polygon,2.01,ops/s
50th percentile latency,polygon,55.219893001776654,ms
90th percentile latency,polygon,72.01717190037016,ms
99th percentile latency,polygon,90.44632858465775,ms
100th percentile latency,polygon,90.4960839980049,ms
50th percentile service time,polygon,53.84456900355872,ms
90th percentile service time,polygon,70.41983790259111,ms
99th percentile service time,polygon,88.87300796588534,ms
100th percentile service time,polygon,89.31434700207319,ms
error rate,polygon,0.00,%
Min Throughput,bbox,2.01,ops/s
Median Throughput,bbox,2.01,ops/s
Max Throughput,bbox,2.01,ops/s
50th percentile latency,bbox,72.67871549265692,ms
90th percentile latency,bbox,86.78417559276569,ms
99th percentile latency,bbox,89.52477347760578,ms
100th percentile latency,bbox,89.96655899682082,ms
50th percentile service time,bbox,71.14873149839696,ms
90th percentile service time,bbox,85.04602009197698,ms
99th percentile service time,bbox,88.08579659365932,ms
100th percentile service time,bbox,88.74994699726813,ms
error rate,bbox,0.00,%
Min Throughput,distance,5.02,ops/s
Median Throughput,distance,5.02,ops/s
Max Throughput,distance,5.02,ops/s
